fecha,id_usuario,ingreso_mensual,gasto_mensual_total,tasa_ahorro,objetivo_presupuesto,escenario_financiero,puntaje_crediticio,relacion_deuda_ingreso,pago_prestamo,monto_inversion,servicios_suscripcion,fondo_emergencia,cantidad_transacciones,indicador_fraude,gastos_discrecionales,gastos_esenciales,tipo_ingreso,alquiler_o_hipoteca,categoria,estado_flujo_caja,puntaje_recomendacion_financiera,nivel_estres_financiero,ahorro_real,meta_ahorro_cumplida,indice_financiero,perfil_financiero
2022-09-12,1957,1900.97,3577.86,0.4,3450.97,Recesión,744.0,0.31,548.82,237.28,9,1398.07,35,0,719.91,2969.82,Salario,1418.73,Educacion,Positivo,5.2,Bajo,0.0,0,53.474065468370675,Estable
2022-10-12,1983,2402.19,2901.92,0.06,2919.87,Normal,705.0,0.18,686.61,461.51,6,1569.13,54,0,702.66,2610.4,Salario,1762.45,Otros,Positivo,39.9,Bajo,0.0,0,45.35770291389416,En riesgo
2022-11-11,1206,3764.31,2918.07,0.22,2831.01,Normal,662.0,0.44,671.29,0.0,4,789.59,96,0,619.13,2275.19,Salario,1127.83,Alimentacion,Positivo,66.0,Bajo,846.24,0,44.33363501986708,En riesgo
2022-12-11,1983,3549.62,2797.15,0.07,2304.84,Normal,690.0,0.16,639.79,313.85,7,713.24,94,0,722.47,2522.92,Salario,906.81,Otros,Positivo,71.6,Alto,752.47,0,46.137480242666804,En riesgo
2023-01-10,1984,4722.51,3075.01,0.34,2922.43,Normal,655.0,0.33,632.85,130.94,3,662.47,82,0,738.87,1951.17,Salario,936.35,Salud,Positivo,32.4,Alto,1647.5,0,56.09829918525257,Estable
2023-02-09,1368,3393.56,3409.64,0.4,3043.73,Normal,614.0,0.19,415.4,249.76,4,1264.6,96,0,626.21,3048.68,Mixto,920.01,Educacion,Neutral,41.1,Bajo,0.0,0,63.10428946107556,Excelente
2023-03-11,1443,4264.95,1818.65,0.09,2964.82,Normal,561.0,0.27,153.88,30.37,8,1429.66,35,0,466.6,3184.95,Salario,1485.3,Ocio,Negativo,27.8,Medio,2446.3,0,47.89332559651969,En observación
2023-04-10,1506,3170.26,2214.21,0.36,2228.47,Recesión,661.0,0.28,306.82,466.11,2,1084.61,40,0,925.74,2129.03,Salario,1027.2,Servicios,Negativo,67.7,Medio,956.05,0,60.40427534478728,Saludable
2023-05-10,1942,4573.38,3768.84,0.27,2182.29,Normal,749.0,0.55,146.4,464.62,5,1591.2,86,0,293.81,1930.96,Salario,686.66,Educacion,Neutral,54.3,Medio,804.54,0,50.68975441410885,En observación
2023-06-09,1353,2800.92,1663.92,0.24,2369.23,Normal,657.0,0.17,125.73,553.6,4,1420.61,82,0,487.92,2253.56,Independiente,1787.83,Educacion,Positivo,23.0,Bajo,1137.0,0,63.72821750235539,Excelente
2023-07-09,1477,5578.55,2600.71,0.06,1942.39,Recesión,700.0,0.45,262.58,813.12,3,1379.9,74,0,473.79,2580.57,Independiente,1051.48,Salud,Negativo,53.8,Medio,2977.84,1,47.84423441941453,En observación
2023-08-08,1657,4078.42,2546.59,0.33,2892.13,Recesión,630.0,0.37,589.78,690.28,8,1376.49,22,0,784.24,1158.34,Salario,1571.24,Alimentacion,Positivo,6.3,Bajo,1531.83,0,59.7236280544715,Saludable
2023-09-07,1275,4116.03,2919.91,0.14,2697.48,Normal,688.0,0.53,485.74,386.86,9,897.14,76,0,228.4,2745.38,Salario,916.7,Salud,Positivo,64.1,Bajo,1196.12,0,41.57917703358225,En riesgo
2023-10-07,1908,4268.09,2534.99,0.13,1820.82,Recesión,750.0,0.5,470.08,499.18,3,928.08,80,0,430.83,2556.3,Independiente,1076.83,Servicios,Positivo,76.0,Bajo,1733.1,0,43.80898315158913,En riesgo
2023-11-06,1585,5466.77,3518.15,0.15,3075.67,Normal,675.0,0.33,300.01,419.52,8,872.66,29,0,555.2,2010.92,Salario,1257.5,Educacion,Positivo,87.6,Bajo,1948.62,0,50.83594988095695,En observación
2019-01-01,1177,3593.89,3401.82,0.25,2155.52,Normal,619.0,0.13,725.61,698.79,7,1860.17,96,0,348.61,3220.52,Salario,862.47,Otros,Positivo,68.3,Alto,192.07,0,61.28455838730886,Saludable
2019-01-31,1900,5216.32,3003.14,0.25,3287.03,Normal,695.0,0.25,322.61,207.54,4,429.86,25,0,152.69,1446.48,Mixto,1084.08,Ocio,Negativo,77.3,Bajo,2213.18,0,58.92009734104199,Saludable
2019-03-02,1213,3997.43,2243.56,0.16,2257.94,Normal,683.0,0.45,399.33,705.24,2,466.72,32,0,776.76,2170.57,Salario,2614.62,Educacion,Neutral,37.1,Medio,1753.87,0,43.95105794490211,En riesgo
2019-04-01,1855,4838.69,4392.42,0.26,3274.63,Recesión,645.0,0.5,723.09,919.03,7,1226.78,87,0,470.58,1931.79,Salario,936.57,Alimentacion,Positivo,23.8,Bajo,446.27,0,50.401863952948695,En observación
2019-05-01,1094,3613.29,1069.2,0.25,3365.82,Recesión,649.0,0.48,516.49,465.08,8,609.45,93,0,226.87,3212.17,Independiente,485.97,Alimentacion,Neutral,99.4,Alto,2544.09,0,49.20319388863589,En observación
2019-05-31,1900,4055.69,4699.43,0.16,1905.94,Normal,764.0,0.41,262.43,483.13,6,354.31,24,0,342.8,1307.91,Mixto,860.13,Transporte,Neutral,38.0,Bajo,0.0,0,43.62990870543834,En riesgo
2019-06-30,1483,4533.65,3390.89,0.16,2109.21,Normal,658.0,0.27,568.54,122.02,7,1332.26,84,0,870.45,3362.31,Mixto,2114.22,Inversiones,Neutral,25.8,Alto,1142.76,0,43.89537161629984,En riesgo
2019-07-30,1512,5532.8,810.91,0.32,2731.72,Inflación,691.0,0.14,416.89,228.69,9,1635.48,59,0,545.09,2136.32,Mixto,1562.54,Inversiones,Positivo,45.2,Medio,4721.89,1,74.13110930124091,Excelente
2019-08-29,1458,5295.24,1740.05,0.11,3118.97,Normal,726.0,0.16,525.73,356.75,8,1003.08,24,0,811.35,1293.6,Independiente,1000.74,Transporte,Positivo,72.3,Bajo,3555.19,1,59.63430786477738,Saludable
2019-09-28,1038,3705.56,2972.45,0.18,2874.56,Normal,692.0,0.11,686.14,0.0,4,1420.62,77,0,47.46,1052.47,Salario,1347.05,Alimentacion,Negativo,97.4,Medio,733.11,0,56.90436442990229,Estable
2019-10-28,1595,4521.79,3131.93,0.37,3025.06,Normal,645.0,0.41,280.93,303.34,1,1013.99,90,0,187.14,1731.05,Salario,368.58,Ocio,Negativo,62.2,Alto,1389.86,0,60.19681921603575,Saludable
2019-11-27,1205,3629.51,3352.63,0.06,2658.66,Normal,727.0,0.39,4.73,495.41,7,1294.54,23,0,532.19,2227.09,Salario,1465.63,Educacion,Neutral,73.8,Bajo,276.88,0,42.97082608958625,En riesgo
2019-12-27,1511,2586.17,2534.03,0.09,2409.44,Inflación,613.0,0.56,604.13,979.88,7,185.58,34,0,679.0,2078.09,Salario,1681.8,Salud,Positivo,50.3,Medio,52.14,0,34.191881807827514,Crítico
2020-01-26,1084,3677.05,2276.04,0.17,3074.08,Normal,753.0,0.57,366.83,601.09,9,834.09,36,0,146.24,2715.84,Salario,1441.28,Alimentacion,Positivo,74.5,Medio,1401.01,0,42.902879638392236,En riesgo
2020-02-25,1799,3285.42,2691.73,0.21,2966.68,Recesión,714.0,0.47,706.65,406.24,7,195.09,76,0,586.33,1361.88,Salario,1121.37,Ocio,Positivo,33.8,Alto,593.69,0,41.95111145231766,En riesgo
2020-03-26,1866,3814.84,2020.61,0.14,2757.38,Recesión,670.0,0.18,367.81,666.47,8,1872.93,37,0,537.93,2462.69,Independiente,465.23,Salud,Positivo,96.9,Bajo,1794.23,0,60.70080130147808,Saludable
2020-04-25,1949,2282.15,1808.42,0.08,2036.74,Normal,612.0,0.43,573.76,489.73,5,486.95,93,0,438.09,2490.75,Salario,928.5,Inversiones,Positivo,55.7,Bajo,473.73,0,40.20862434014421,Crítico
2020-05-25,1730,4003.62,4254.45,0.17,2560.16,Normal,628.0,0.46,660.45,767.32,1,794.26,57,0,525.02,1000.0,Salario,1609.61,Otros,Positivo,71.8,Bajo,0.0,0,45.445906190274535,En riesgo
2020-06-24,1355,4169.75,3064.38,0.39,3289.28,Normal,658.0,0.24,633.69,759.34,8,1040.06,60,0,384.05,3045.44,Salario,1556.05,Otros,Positivo,46.4,Medio,1105.37,0,64.21028812335679,Excelente
2020-07-24,1166,4154.59,3070.33,0.37,3168.63,Inflación,682.0,0.35,634.79,475.69,9,723.56,53,0,563.52,2297.94,Mixto,2222.8,Inversiones,Positivo,93.6,Alto,1084.26,0,55.273516446684084,Estable
2020-08-23,1694,5530.99,996.21,0.26,1673.99,Inflación,668.0,0.1,563.79,597.11,6,1304.41,50,0,437.43,1887.29,Salario,1249.45,Servicios,Neutral,69.7,Alto,4534.78,1,71.79082999397072,Excelente
2020-09-22,1230,2249.0,4408.99,0.1,3479.97,Inflación,681.0,0.35,832.77,312.28,4,1475.67,73,0,226.64,1547.2,Salario,1380.6,Inversiones,Positivo,9.6,Bajo,0.0,0,40.22953667028007,En riesgo
2020-10-22,1306,4108.07,2591.19,0.2,3900.31,Recesión,668.0,0.1,298.17,41.32,2,669.87,76,0,400.19,2157.76,Salario,1484.8,Transporte,Positivo,28.8,Medio,1516.88,0,58.606280897795415,Saludable
2020-11-21,1856,3281.77,2937.27,0.09,2975.45,Normal,621.0,0.22,91.88,625.54,6,1642.86,89,0,579.78,2982.26,Salario,1094.01,Gastos_hormiga,Positivo,40.7,Bajo,344.5,0,52.470553036823716,Estable
2020-12-21,1310,3642.2,1872.49,0.25,1972.05,Normal,721.0,0.16,782.47,423.27,2,1139.84,50,0,408.48,2303.32,Salario,1540.2,Otros,Neutral,4.5,Bajo,1769.71,0,60.74604505651431,Saludable
2021-01-20,1332,3463.41,3271.94,0.08,2743.33,Normal,604.0,0.16,415.25,396.61,5,1464.46,45,0,221.86,1895.09,Salario,1585.15,Salud,Neutral,91.8,Alto,191.47,0,50.88350771665842,En observación
2021-02-19,1071,4599.21,3564.07,0.3,3528.02,Inflación,657.0,0.37,385.63,736.26,6,503.96,21,0,606.22,2307.27,Salario,1451.61,Servicios,Positivo,61.4,Bajo,1035.14,0,55.13819597610586,Estable
2021-03-21,1371,3375.82,2627.31,0.07,3402.61,Normal,661.0,0.23,885.3,580.03,2,532.31,87,1,459.21,2665.28,Salario,1306.39,Otros,Negativo,23.5,Medio,748.51,0,43.02678098519169,En riesgo
2021-04-20,1938,4023.87,1360.32,0.17,3357.66,Recesión,740.0,0.21,470.65,0.0,7,2018.03,77,0,830.19,2651.21,Salario,851.6,Salud,Positivo,87.0,Bajo,2663.55,0,56.94902897843584,Estable
2021-05-20,1260,4976.02,3902.74,0.27,2370.54,Normal,535.0,0.43,1151.87,318.52,5,592.64,58,0,346.96,2214.83,Salario,815.3,Otros,Positivo,93.5,Bajo,1073.28,0,47.16652378997665,En observación
2021-06-19,1277,3874.19,2673.9,0.06,3160.19,Inflación,709.0,0.42,359.9,0.0,9,192.49,21,0,826.7,2111.3,Salario,1239.34,Servicios,Positivo,22.5,Medio,1200.29,0,34.52538966079905,Crítico
2021-07-19,1446,3539.63,1192.31,0.07,2554.84,Normal,731.0,0.4,680.77,130.48,3,303.31,91,0,641.53,1446.19,Independiente,1269.19,Transporte,Negativo,34.0,Bajo,2347.32,0,39.87132815083727,Crítico
2021-08-18,1917,2832.28,4716.8,0.39,2712.04,Normal,648.0,0.23,346.02,479.85,1,1165.48,68,0,390.53,2336.89,Salario,1179.15,Otros,Negativo,63.3,Medio,0.0,0,60.15846823689228,Saludable
2021-09-17,1209,3456.66,2910.41,0.3,3457.95,Normal,611.0,0.48,492.74,222.84,7,592.01,68,0,429.48,2045.01,Salario,670.0,Alimentacion,Neutral,10.7,Bajo,546.25,0,47.2824006715839,En observación
2021-10-17,1896,2954.93,5011.59,0.19,3533.22,Inflación,696.0,0.35,324.05,608.22,1,959.69,69,0,516.68,2701.17,Salario,1902.67,Vivienda,Neutral,1.0,Alto,0.0,0,43.34385798136767,En riesgo
2021-11-16,1335,4374.48,4704.11,0.2,2581.05,Normal,666.0,0.28,791.63,275.37,9,543.07,51,0,163.42,2079.27,Independiente,1375.16,Gastos_hormiga,Positivo,48.0,Alto,0.0,0,45.927431876701135,En riesgo
2021-12-16,1604,3185.98,1721.25,0.15,2148.24,Normal,613.0,0.32,421.45,403.33,1,959.2,56,0,453.23,1440.94,Salario,812.36,Otros,Positivo,98.9,Bajo,1464.73,0,53.83440332398265,Estable
2022-01-15,1895,3150.47,2759.67,0.05,2711.72,Inflación,753.0,0.16,538.51,418.16,6,689.26,52,0,748.25,1384.25,Salario,1101.52,Transporte,Neutral,8.8,Bajo,390.8,0,46.62692592188658,En riesgo
2022-02-14,1662,3797.06,2792.7,0.37,2453.8,Inflación,690.0,0.34,372.48,25.42,1,1593.13,63,0,920.17,2452.58,Salario,1380.33,Gastos_hormiga,Positivo,97.7,Bajo,1004.36,0,59.06341773968078,Saludable
2022-03-16,1461,3152.89,1886.08,0.13,3334.43,Inflación,754.0,0.54,728.33,325.3,9,988.54,61,0,329.4,1350.44,Salario,642.61,Otros,Positivo,57.6,Bajo,1266.81,0,40.62736102938659,En riesgo
2022-04-15,1243,4953.73,3013.09,0.31,2929.87,Inflación,651.0,0.56,1110.26,521.1,9,1472.05,88,0,517.53,1553.91,Salario,557.02,Gastos_hormiga,Negativo,45.5,Medio,1940.64,0,48.232600686983204,En observación
2022-05-15,1894,5299.48,2460.74,0.34,3367.14,Recesión,636.0,0.25,496.16,264.36,4,295.52,49,0,508.35,2556.54,Salario,1281.91,Alimentacion,Neutral,38.1,Bajo,2838.74,0,61.73461890749809,Saludable
2022-06-14,1446,3266.25,1380.33,0.23,2511.99,Normal,708.0,0.19,164.61,464.44,7,1085.1,97,0,407.98,2656.32,Salario,720.27,Alimentacion,Positivo,99.5,Alto,1885.92,0,62.1069779251373,Saludable
2022-07-14,1827,3805.09,2046.66,0.38,2905.7,Normal,741.0,0.27,232.36,306.77,8,980.8,75,0,505.06,2657.53,Salario,818.8,Ocio,Positivo,76.2,Bajo,1758.43,0,64.9254781370921,Excelente
2022-08-13,1063,4695.21,4526.43,0.2,2232.93,Normal,746.0,0.52,149.62,1114.32,1,1174.05,86,0,721.25,1585.08,Salario,1277.59,Inversiones,Positivo,4.4,Medio,168.78,0,49.15816458625867,En observación
2022-09-12,1579,3062.59,2374.18,0.37,2715.38,Normal,691.0,0.28,492.44,312.53,6,1952.76,49,0,799.8,2231.37,Independiente,1034.37,Inversiones,Neutral,33.3,Medio,688.41,0,61.059721307072266,Saludable
2022-10-12,1866,2567.88,2611.7,0.22,3408.13,Normal,663.0,0.41,505.42,0.0,1,397.39,32,0,399.37,1913.29,Independiente,1856.11,Inversiones,Positivo,4.9,Alto,0.0,0,42.21756034367763,En riesgo
2022-11-11,1737,3564.15,2364.97,0.26,2846.31,Inflación,711.0,0.14,544.1,48.06,4,397.5,68,0,285.79,2412.89,Salario,930.95,Otros,Negativo,53.1,Medio,1199.18,0,56.73159233628679,Estable
2022-12-11,1370,3018.3,2843.89,0.18,2417.01,Normal,635.0,0.36,722.82,438.22,3,997.38,71,0,687.59,2514.67,Independiente,1535.2,Servicios,Positivo,7.1,Alto,174.41,0,44.84771140640983,En riesgo
2023-01-10,1807,4385.93,2446.52,0.37,2618.46,Normal,718.0,0.19,608.8,249.26,9,1121.99,31,0,389.61,2473.45,Salario,1307.07,Educacion,Positivo,50.0,Alto,1939.41,0,64.48760401001796,Excelente
2023-02-09,1214,3365.37,4409.87,0.28,2178.54,Normal,683.0,0.22,626.78,706.14,7,1014.1,54,0,315.23,2725.96,Mixto,1455.59,Ocio,Negativo,52.2,Bajo,0.0,0,54.600081398245045,Estable
2023-03-11,1128,4797.98,3844.56,0.3,3441.53,Normal,685.0,0.18,615.87,331.69,6,665.9,83,0,783.88,2484.2,Salario,1231.69,Gastos_hormiga,Positivo,89.1,Bajo,953.42,0,58.024349197980094,Saludable
2023-04-10,1048,3940.12,3005.82,0.29,2963.31,Normal,665.0,0.37,376.16,231.16,6,700.32,46,0,347.27,2089.57,Independiente,2043.99,Transporte,Positivo,54.4,Medio,934.3,0,52.24313488294621,En observación
2023-05-10,1453,4576.18,2464.61,0.14,3021.33,Recesión,751.0,0.56,547.0,524.2,2,1394.16,36,0,526.62,1719.7,Independiente,418.92,Transporte,Positivo,12.1,Alto,2111.57,0,45.88434819731459,En riesgo
2023-06-09,1386,5111.08,3601.36,0.12,2685.73,Inflación,698.0,0.21,260.95,278.3,3,1016.3,45,0,848.56,2091.46,Salario,660.59,Educacion,Neutral,15.6,Medio,1509.72,0,51.39378640627059,En observación
2023-07-09,1962,5514.81,2614.04,0.08,3259.67,Normal,703.0,0.11,809.86,28.65,3,1074.75,81,0,450.6,2559.54,Independiente,1385.43,Vivienda,Positivo,58.3,Bajo,2900.77,0,53.809466555330125,Estable
